deneb_uid	capella_uid	decl	premise	base_succ	base_fail	comb_succ	comb_fail	category	note
0	0	def $filter_list_	-- if X*{X <- X*} matches []	360	156483	63070	28267355	falsifiable-covered	
1	1	def $filter_list_	-- if X*{X <- X*} matches _ :: _	156483	0	28267355	0	unfalsifiable-closing	
3	3	def $filter_list_	-- if ($cond(X_h) = true)	28093	128390	5424460	22842895	falsifiable-covered	
4	4	def $filter_list_	-- if X*{X <- X*} matches _ :: _	128390	0	22842895	0	unfalsifiable-closing	
6	6	def $filter_list_	-- if ($cond(X_h) = false)	128390	0	22842895	0	unfalsifiable-closing	
7	7	def $filter_list_2_	-- if X*{X <- X*} matches []	23408	7384929	10167340	3607426746	falsifiable-covered	
8	8	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	7384929	0	3607426746	0	unfalsifiable-closing	
10	10	def $filter_list_2_	-- if ($cond(X_h, Y) = true)	5396617	1988312	2477701988	1129724758	falsifiable-covered	
11	11	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	1988312	0	1129724424	0	unfalsifiable-closing	
13	13	def $filter_list_2_	-- if ($cond(X_h, Y) = false)	1988312	0	1129724424	0	unfalsifiable-closing	
14	14	def $fold_	-- if Y*{Y <- Y*} matches []	9697	868783	1042685	93652880	falsifiable-covered	
15	15	def $fold_	-- if Y*{Y <- Y*} matches _ :: _	868783	0	93652880	0	unfalsifiable-closing	
17	17	def $has_flag	-- if (n >= 8)	0	1256	0	113036	falsifiable-covered	
18	18	def $has_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	147	1109	46836	66200	falsifiable-covered	
20	20	def $add_flag	-- if (n >= 8)	0	1016	0	12881	falsifiable-covered	
21	21	def $add_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	0	1016	0	12881	falsifiable-covered	
23	23	def $max_uint64	-- if (x >= y)	406149	399110	43675943	40296791	falsifiable-covered	
25	25	def $min_uint64	-- if (x <= y)	638	1512	36581	370770	falsifiable-covered	
27	27	def $eth_fast_aggregate_verify	-- if (|blsPubkey*{blsPubkey <- blsPubkey*}| = 0)	535	18	1672	391	falsifiable-covered	
28	28	def $eth_fast_aggregate_verify	-- if (blsSignature = $G2_POINT_AT_INFINITY)	535	0	1496	176	falsifiable-covered	
30	30	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	19256958	0	86407595	121	falsifiable-covered	
32	32	def $index_of_pubkey	-- if (blsPubkey_h = blsPubkey_committee)	144004	19112954	523625	85883970	falsifiable-covered	
33	33	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	19112954	0	85883970	121	falsifiable-covered	
41	36	def $get_previous_epoch	-- if ($get_current_epoch(state) = $GENESIS_EPOCH)	0	5648	123	3166149	falsifiable-covered	
43	38	def $get_prev_slot	-- if (slot = 0)	0	553	0	2063	falsifiable-covered	
45	40	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	1602	39	23613	2893	falsifiable-covered	
47	42	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	1602	0	23613	0	unfalsifiable-tautology	
49	44	def $compute_domain	-- if version?{version <- version?} matches ()	39	0	2893	0	unfalsifiable-closing	
50	45	def $compute_domain	-- if root?{root <- root?} matches ()	20	19	2135	758	falsifiable-covered	
51	46	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	0	19	0	758	falsifiable-covered	
53	48	def $compute_domain	-- if root?{root <- root?} matches ()	0	0	0	0	unfalsifiable-tautology	
54	49	def $compute_domain	-- if version?{version <- version?} matches ()	19	0	758	0	unfalsifiable-closing	
55	50	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	19	0	758	0	unfalsifiable-closing	
57	52	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	562	1584	9082	135721	falsifiable-covered	
59	54	def $get_domain	-- if (epoch_cur < state.FORK.EPOCH)	0	562	0	9082	falsifiable-covered	
60	55	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	562	1584	9082	135721	falsifiable-covered	
63	58	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1584	0	135721	0	unfalsifiable-closing	
65	60	def $get_domain	-- if (epoch < state.FORK.EPOCH)	0	1584	0	135721	falsifiable-covered	
66	61	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1584	0	135721	0	unfalsifiable-closing	
69	64	def $verify_block_signature	-- if (signedBeaconBlock.MESSAGE.PROPOSER_INDEX < |state.VALIDATORS|)	0	0	0	0	unfalsifiable-tautology	
72	67	def $verify_block_signature	-- if $bls_verify(validator_proposer.PUBKEY, root_signing, signedBeaconBlock.SIGNATURE)	0	0	0	0	unfalsifiable-tautology	
74	69	def $is_active_validator	-- if (validator.ACTIVATION_EPOCH <= epoch)	345911	3828	18602094	1903168	falsifiable-covered	
75	70	def $is_active_validator	-- if (epoch < validator.EXIT_EPOCH)	342725	3186	17092099	1509995	falsifiable-covered	
77	72	def $is_eligible_for_activation_queue	-- if (validator.ACTIVATION_ELIGIBILITY_EPOCH = $FAR_FUTURE_EPOCH)	112	11520	101318	4367001	falsifiable-covered	
78	73	def $is_eligible_for_activation_queue	-- if (validator.EFFECTIVE_BALANCE = $MAX_EFFECTIVE_BALANCE)	112	0	101171	147	falsifiable-covered	
80	75	def $is_eligible_for_activation	-- if (validator.ACTIVATION_ELIGIBILITY_EPOCH <= state.FINALIZED_CHECKPOINT.EPOCH)	11520	112	4367001	101318	falsifiable-covered	
81	76	def $is_eligible_for_activation	-- if (validator.ACTIVATION_EPOCH = $FAR_FUTURE_EPOCH)	368	11152	250516	4116485	falsifiable-covered	
83	78	def $is_slashable_validator	-- if ~validator.SLASHED	224	12	57104	184	falsifiable-covered	
84	79	def $is_slashable_validator	-- if (validator.ACTIVATION_EPOCH <= epoch)	224	0	57104	0	unfalsifiable-tautology	
85	80	def $is_slashable_validator	-- if (epoch < validator.WITHDRAWABLE_EPOCH)	224	0	57104	0	target-limitation	
87	82	def $is_fully_withdrawable_validator	-- if ($has_eth1_withdrawal_credential(validator) = true)	146	147882	36583	3611608	falsifiable-covered	
88	83	def $is_fully_withdrawable_validator	-- if (validator.WITHDRAWABLE_EPOCH <= epoch)	29	117	4764	31819	falsifiable-covered	
89	84	def $is_fully_withdrawable_validator	-- if (balance > 0)	28	1	4763	1	falsifiable-covered	
91	86	def $is_partially_withdrawable_validator	-- if ($has_eth1_withdrawal_credential(validator) = true)	118	147882	31820	3611608	falsifiable-covered	
92	87	def $is_partially_withdrawable_validator	-- if (validator.EFFECTIVE_BALANCE = $MAX_EFFECTIVE_BALANCE)	79	39	18154	13666	falsifiable-covered	
93	88	def $is_partially_withdrawable_validator	-- if (balance > $MAX_EFFECTIVE_BALANCE)	78	1	18100	54	falsifiable-covered	
109	104	def $has_flag_for_index	-- if (vid < |participationFlags_list*{participationFlags_list <- participationFlags_list*}|)	2897677	0	1887240734	334	falsifiable-covered	
110	105	def $is_unslashed	-- if (vid < |state.VALIDATORS|)	1083581	0	641668706	0	unfalsifiable-tautology	
112	107	def $is_unslashed	-- if (validator.SLASHED = false)	875669	207912	507340272	134328434	falsifiable-covered	
114	109	def $get_unslashed_participating_indices	-- if ($get_current_epoch(state) = epoch)	27	5213	11859	3135484	falsifiable-covered	
118	113	def $get_unslashed_participating_indices	-- if ($get_previous_epoch(state) = epoch)	5213	0	3135484	0	unfalsifiable-tautology	
124	117	def $get_block_root_at_slot	-- if (slot < state.SLOT)	2804	0	268537	0	unfalsifiable-tautology	
125	118	def $get_block_root_at_slot	-- if (slot <= ($UINT64_MAX - $SLOTS_PER_HISTORICAL_ROOT))	2804	0	268537	0	target-limitation	
126	119	def $get_block_root_at_slot	-- if (state.SLOT <= (slot + $SLOTS_PER_HISTORICAL_ROOT))	2804	0	268537	0	unfalsifiable-tautology	
128	121	def $get_finality_delay	-- if ($get_previous_epoch(state) >= state.FINALIZED_CHECKPOINT.EPOCH)	5128	0	3103306	68	falsifiable-covered	
129	122	def $choose_index	-- if (nat_bit = 1)	410819	407562	42250666	41940393	falsifiable-covered	
152	145	def $compute_proposer_index_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))	2959	0	224918	120	falsifiable-covered	
153	146	def $compute_proposer_index_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) >= ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))	2868	91	190554	34364	falsifiable-covered	
158	151	def $compute_proposer_index_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))	91	0	34364	120	falsifiable-covered	
159	152	def $compute_proposer_index_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) < ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))	91	0	34364	0	unfalsifiable-closing	
160	153	def $compute_proposer_index	-- if (|vid*{vid <- vid*}| > 0)	2868	0	190674	60	falsifiable-covered	
165	158	relation IncreaseBalance	-- if (vid < |state.BALANCES|)	52987	0	17078425	138	falsifiable-covered	
167	160	relation IncreaseBalance	-- if (balance <= ($UINT64_MAX - delta))	52987	0	17078352	73	falsifiable-covered	
168	161	relation DecreaseBalance	-- if (vid < |state.BALANCES|)	312765	0	17408937	1	falsifiable-covered	reclassified from target-limitation
170	163	relation DecreaseBalance	-- if (delta > balance)	61	312704	854	17408083	falsifiable-covered	
171	164	relation DecreaseBalance	-- if (vid < |state.BALANCES|)	312704	0	17408083	1	falsifiable-covered	reclassified from target-limitation
173	166	relation DecreaseBalance	-- if (delta <= balance)	312704	0	17408083	0	unfalsifiable-closing	
174	167	def $exit_epoch_not_far_future	-- if (validator.EXIT_EPOCH =/= $FAR_FUTURE_EPOCH)	28093	256780	5424460	45685790	falsifiable-covered	
176	169	def $exit_epoch_eq	-- if (validator.EXIT_EPOCH = epoch)	839	54508	151142	10546636	falsifiable-covered	
178	171	def $select_epoch_exit_queue	-- if (uint64_churn >= uint64_limit)	80	280	14933	48137	falsifiable-covered	
180	173	relation InitiateValidatorExit	-- if (vid < |state.VALIDATORS|)	462	0	125935	0	unfalsifiable-tautology	
182	175	relation InitiateValidatorExit	-- if (validator.EXIT_EPOCH =/= $FAR_FUTURE_EPOCH)	102	360	62865	63070	falsifiable-covered	
183	176	relation InitiateValidatorExit	-- if (vid < |state.VALIDATORS|)	360	0	63070	0	unfalsifiable-tautology	
185	178	relation InitiateValidatorExit	-- if (validator.EXIT_EPOCH = $FAR_FUTURE_EPOCH)	360	0	63070	0	unfalsifiable-closing	
193	186	relation InitiateValidatorExit	-- if (epoch_exit_queue <= ($UINT64_MAX - $MIN_VALIDATOR_WITHDRAWABILITY_DELAY))	360	0	63070	0	target-limitation	
195	188	relation SlashValidator	-- if validatorIndex?{validatorIndex <- validatorIndex?} matches ()	224	0	56714	0	unfalsifiable-tautology	
196	189	relation SlashValidator	-- if (vid_slashed < |state.VALIDATORS|)	224	0	56714	0	unfalsifiable-tautology	
202	195	relation SlashValidator	-- if (state_1.SLASHINGS[(epoch \ $EPOCHS_PER_SLASHINGS_VECTOR)] <= ($UINT64_MAX - validator.EFFECTIVE_BALANCE))	224	0	56714	0	target-limitation	
213	206	relation SlashValidator	-- if validatorIndex?{validatorIndex <- validatorIndex?} matches (_)	0	0	0	0	unfalsifiable-tautology	
215	208	relation SlashValidator	-- if (vid_slashed < |state.VALIDATORS|)	0	0	0	0	unfalsifiable-tautology	
221	214	relation SlashValidator	-- if (state_1.SLASHINGS[(epoch \ $EPOCHS_PER_SLASHINGS_VECTOR)] <= ($UINT64_MAX - validator.EFFECTIVE_BALANCE))	0	0	0	0	unfalsifiable-tautology	
234	227	relation ApplyDeposit	-- if ~blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	206	3	18806	16	falsifiable-covered	
237	230	relation ApplyDeposit	-- if $bls_verify(blsPubkey, $compute_signing_root_depositMessage(depositMessage, domain), blsSignature)	206	0	18806	0	target-limitation	
241	234	relation ApplyDeposit	-- if ~blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	0	3	0	16	falsifiable-covered	
244	237	relation ApplyDeposit	-- if ~$bls_verify(blsPubkey, $compute_signing_root_depositMessage(depositMessage, domain), blsSignature)	0	0	0	0	unfalsifiable-closing	
247	240	relation ApplyDeposit	-- if blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	3	0	16	0	unfalsifiable-closing	
258	251	def $bit_is_one_at_index	-- if (i < |bit*{bit <- bit*}|)	14575	0	1988632	0	unfalsifiable-tautology	
263	256	def $is_valid_indexed_attestation	-- if (|indexedAttestation.ATTESTING_INDICES| = 0)	0	1456	0	187738	falsifiable-covered	
264	257	def $is_valid_indexed_attestation	-- if ($sort_<validatorIndex>($to_set_<validatorIndex>(indexedAttestation.ATTESTING_INDICES)) =/= indexedAttestation.ATTESTING_INDICES)	0	1456	130	187608	falsifiable-covered	
266	259	def $is_valid_indexed_attestation	-- if (|indexedAttestation.ATTESTING_INDICES| > 0)	1456	0	187608	0	unfalsifiable-closing	
267	260	def $is_valid_indexed_attestation	-- if ($sort_<validatorIndex>($to_set_<validatorIndex>(indexedAttestation.ATTESTING_INDICES)) = indexedAttestation.ATTESTING_INDICES)	1456	0	187608	0	unfalsifiable-closing	
268	261	def $is_valid_indexed_attestation	-- (if (vid < |state.VALIDATORS|))*{vid <- vid*}	1456	0	187548	60	falsifiable-covered	
272	265	relation SlashIfEligible	-- if (vid < |state.VALIDATORS|)	86	0	11691	0	unfalsifiable-tautology	
273	266	relation SlashIfEligible	-- if $is_slashable_validator(state.VALIDATORS[vid], $get_current_epoch(state))	76	10	11529	162	falsifiable-covered	
275	268	relation SlashIfEligible	-- if (vid < |state.VALIDATORS|)	10	0	162	0	unfalsifiable-tautology	
276	269	relation SlashIfEligible	-- if ~$is_slashable_validator(state.VALIDATORS[vid], $get_current_epoch(state))	10	0	162	0	unfalsifiable-closing	
277	270	relation SlashIfEligible_over_validators	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	24	86	4260	11691	falsifiable-covered	
278	271	relation SlashIfEligible_over_validators	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	86	0	11691	0	unfalsifiable-closing	
282	275	def $source_flag_list	-- if (uint64_inclusion_delay <= $integer_square_root($SLOTS_PER_EPOCH))	309	563	11424	69754	falsifiable-covered	
285	279	def $head_flag_list	-- if (uint64_inclusion_delay = $MIN_ATTESTATION_INCLUSION_DELAY)	257	615	708	80470	falsifiable-covered	
287	281	def $get_attestation_participation_flag_indices	-- if (attestationData.TARGET.EPOCH = $get_current_epoch(state))	523	883	70309	109007	falsifiable-covered	
